station_uid,live_provider_key,provider,provider_station_id,station_name,water_year,water_month,month_label,month_start_water_day,n_daily_obs,monthly_min_daily_obs,monthly_mean_ok,swe_month_mean_in,swe_month_max_in,monthly_ref_ok,monthly_ref_n_years,min_years_for_monthly_context,monthly_ref_start_date,monthly_ref_end_date,monthly_ref_start_wy,monthly_ref_end_wy,monthly_ref_label,monthly_ref_wy_label,monthly_ref_p30_swe_in,monthly_ref_p50_swe_in,monthly_ref_p70_swe_in
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2022,12,Sep,336,30,10,TRUE,0.18,0.3,TRUE,14,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.024605263157894738,0.05459770114942529,0.25577777777777777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,1,Oct,1,31,10,TRUE,0.2,0.3,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,2,Nov,32,30,10,TRUE,2.533333333333333,3.2,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,3,Dec,62,31,10,TRUE,6.867741935483871,8.7,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,4,Jan,93,31,10,TRUE,11.125806451612904,12.4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,5,Feb,124,25,10,TRUE,13.296,15,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,6,Mar,152,31,10,TRUE,20.980645161290322,25.4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,7,Apr,183,30,10,TRUE,21.023333333333333,25.7,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,8,May,213,18,10,TRUE,5.633333333333334,8.8,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,9,Jun,244,1,10,FALSE,,0,TRUE,18,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.0673076923076923,0.1367391304347826,0.18165154264972777
